"Date","County","Pollutant","Measurement","AQI"
2011-01-01,"Alameda","PM2.5",10.5,54
2011-01-02,"Alameda","PM2.5",4.6,26
2011-01-03,"Alameda","PM2.5",13.4,59
2011-01-04,"Alameda","PM2.5",18.5,69
2011-01-05,"Alameda","PM2.5",18.7,69
2011-01-06,"Alameda","PM2.5",13.8,60
2011-01-07,"Alameda","PM2.5",16.2,64
2011-01-09,"Alameda","PM2.5",13.7,60
2011-01-10,"Alameda","PM2.5",16.9,66
2011-01-11,"Alameda","PM2.5",23.2,77
2011-01-12,"Alameda","PM2.5",18.9,69
2011-01-13,"Alameda","PM2.5",16.8,65
2011-01-14,"Alameda","PM2.5",7.3,41
2011-01-15,"Alameda","PM2.5",8.4,47
2011-01-16,"Alameda","PM2.5",21.9,75
2011-01-17,"Alameda","PM2.5",13.1,58
2011-01-18,"Alameda","PM2.5",6.6,37
2011-01-19,"Alameda","PM2.5",6.2,34
2011-01-20,"Alameda","PM2.5",15.5,63
2011-01-21,"Alameda","PM2.5",23.6,78
2011-01-22,"Alameda","PM2.5",9.3,51
2011-01-23,"Alameda","PM2.5",9.4,52
2011-01-24,"Alameda","PM2.5",11.8,56
2011-01-25,"Alameda","PM2.5",11.5,55
2011-01-26,"Alameda","PM2.5",12.3,57
2011-01-27,"Alameda","PM2.5",13,58
2011-01-28,"Alameda","PM2.5",23.2,77
2011-01-29,"Alameda","PM2.5",4.8,27
2011-01-30,"Alameda","PM2.5",5.8,32
2011-01-31,"Alameda","PM2.5",8.5,47
2011-02-01,"Alameda","PM2.5",2.6,14
2011-02-02,"Alameda","PM2.5",3.8,21
2011-02-03,"Alameda","PM2.5",10.2,53
2011-02-04,"Alameda","PM2.5",13.7,60
2011-02-05,"Alameda","PM2.5",4.4,24
2011-02-06,"Alameda","PM2.5",2.3,13
2011-02-07,"Alameda","PM2.5",5.8,32
2011-02-08,"Alameda","PM2.5",1,6
2011-02-09,"Alameda","PM2.5",3.4,19
2011-02-10,"Alameda","PM2.5",7.3,41
2011-02-11,"Alameda","PM2.5",18.3,68
2011-02-12,"Alameda","PM2.5",15.9,64
2011-02-13,"Alameda","PM2.5",16.8,65
2011-02-14,"Alameda","PM2.5",3,17
2011-02-15,"Alameda","PM2.5",3.4,19
2011-02-16,"Alameda","PM2.5",1.8,10
2011-02-17,"Alameda","PM2.5",1.5,8
2011-02-18,"Alameda","PM2.5",2.5,14
2011-02-19,"Alameda","PM2.5",3.8,21
2011-02-20,"Alameda","PM2.5",7.1,39
2011-02-21,"Alameda","PM2.5",6,33
2011-02-22,"Alameda","PM2.5",5.2,29
2011-02-23,"Alameda","PM2.5",4.7,26
2011-02-24,"Alameda","PM2.5",3.5,19
2011-02-25,"Alameda","PM2.5",2.1,12
2011-02-26,"Alameda","PM2.5",9.2,51
2011-02-27,"Alameda","PM2.5",7.5,42
2011-02-28,"Alameda","PM2.5",6,33
2011-01-01,"Alameda","PM2.5",7.6,42
2011-01-02,"Alameda","PM2.5",4.3,24
2011-01-03,"Alameda","PM2.5",11.1,55
2011-01-04,"Alameda","PM2.5",8.5,47
2011-01-05,"Alameda","PM2.5",10.8,54
2011-01-06,"Alameda","PM2.5",12.8,58
2011-01-07,"Alameda","PM2.5",21.6,74
2011-01-08,"Alameda","PM2.5",19.9,71
2011-01-09,"Alameda","PM2.5",10.7,54
2011-01-10,"Alameda","PM2.5",11.1,55
2011-01-11,"Alameda","PM2.5",17.7,67
2011-01-12,"Alameda","PM2.5",16.1,64
2011-01-13,"Alameda","PM2.5",20.2,72
2011-01-14,"Alameda","PM2.5",11.8,56
2011-01-15,"Alameda","PM2.5",12.7,58
2011-01-16,"Alameda","PM2.5",24.3,79
2011-01-17,"Alameda","PM2.5",27,84
2011-01-18,"Alameda","PM2.5",15.7,63
2011-01-19,"Alameda","PM2.5",8.7,48
2011-01-20,"Alameda","PM2.5",6.3,35
2011-01-21,"Alameda","PM2.5",28,86
2011-01-22,"Alameda","PM2.5",21.6,74
2011-01-23,"Alameda","PM2.5",5.5,31
2011-01-24,"Alameda","PM2.5",19.2,70
2011-01-25,"Alameda","PM2.5",13.3,59
2011-01-26,"Alameda","PM2.5",14.4,61
2011-01-27,"Alameda","PM2.5",16.6,65
2011-01-28,"Alameda","PM2.5",24.6,80
2011-01-29,"Alameda","PM2.5",8.5,47
2011-01-30,"Alameda","PM2.5",4.9,27
2011-01-31,"Alameda","PM2.5",10.9,54
2011-02-01,"Alameda","PM2.5",10.7,54
2011-02-02,"Alameda","PM2.5",7,39
2011-02-03,"Alameda","PM2.5",13.9,60
2011-02-04,"Alameda","PM2.5",17.5,67
2011-02-05,"Alameda","PM2.5",14.4,61
2011-02-06,"Alameda","PM2.5",3.1,17
2011-02-07,"Alameda","PM2.5",12.3,57
2011-02-08,"Alameda","PM2.5",4.6,26
2011-02-09,"Alameda","PM2.5",4.5,25
2011-02-10,"Alameda","PM2.5",6.6,37
2011-02-11,"Alameda","PM2.5",11.4,55
2011-02-12,"Alameda","PM2.5",19.3,70
2011-02-13,"Alameda","PM2.5",18.9,69
2011-02-14,"Alameda","PM2.5",4.2,23
2011-02-15,"Alameda","PM2.5",6.3,35
2011-02-16,"Alameda","PM2.5",3.4,19
2011-02-17,"Alameda","PM2.5",4.9,27
2011-02-18,"Alameda","PM2.5",4.8,27
2011-02-19,"Alameda","PM2.5",6.5,36
2011-02-20,"Alameda","PM2.5",7.7,43
2011-02-21,"Alameda","PM2.5",7.2,40
2011-02-22,"Alameda","PM2.5",7.5,42
2011-02-23,"Alameda","PM2.5",8.2,46
2011-02-24,"Alameda","PM2.5",7.2,40
2011-02-25,"Alameda","PM2.5",3.5,19
2011-02-26,"Alameda","PM2.5",6.2,34
2011-02-28,"Alameda","PM2.5",8.2,46
2011-03-01,"Alameda","PM2.5",7.3,41
2011-03-02,"Alameda","PM2.5",3.5,19
2011-03-03,"Alameda","PM2.5",6,33
2011-03-04,"Alameda","PM2.5",9.1,51
2011-03-05,"Alameda","PM2.5",10.4,53
2011-03-06,"Alameda","PM2.5",4.6,26
2011-03-07,"Alameda","PM2.5",5,28
2011-03-08,"Alameda","PM2.5",8.9,49
2011-03-09,"Alameda","PM2.5",13.3,59
2011-03-10,"Alameda","PM2.5",9.7,52
2011-03-11,"Alameda","PM2.5",8.4,47
2011-03-12,"Alameda","PM2.5",8.4,47
2011-03-13,"Alameda","PM2.5",6.1,34
2011-03-14,"Alameda","PM2.5",5.1,28
2011-03-15,"Alameda","PM2.5",6.4,36
2011-03-16,"Alameda","PM2.5",9.4,52
2011-03-17,"Alameda","PM2.5",9.7,52
2011-03-18,"Alameda","PM2.5",8.2,46
2011-03-19,"Alameda","PM2.5",4.5,25
2011-03-20,"Alameda","PM2.5",4.5,25
2011-03-21,"Alameda","PM2.5",6.1,34
2011-03-22,"Alameda","PM2.5",7.8,43
2011-03-23,"Alameda","PM2.5",4.8,27
